,event_uuid,harry_kane_x_location,defender_x_location,player,timestamp,minute,type,possession_team
0,62db25e5-9ec0-4ff7-b343-28f6af5d0039,85.1,89.33,Harry Kane,00:00:13.800,0,Ball Receipt*,England
1,73cc9eda-04b4-4b90-99b0-03da40513ce0,85.1,89.33,Harry Kane,00:00:13.800,0,Carry,England
2,b98531d4-4111-44dc-957f-767cf919d180,81.3,89.44,Harry Kane,00:00:14.937,0,Miscontrol,England
3,0c2285a6-33da-4855-833d-1dfaa9cfd427,69.6,78.43,Harry Kane,00:03:13.287,3,Ball Receipt*,England
4,555ffcb0-d704-400a-817e-5d65e0b85f26,69.6,78.43,Harry Kane,00:03:13.287,3,Carry,England
5,5869d10b-882f-426d-9d60-249f95028868,70.3,79.79,Harry Kane,00:03:13.904,3,Pass,England
6,0646a850-a740-4995-a056-b5417ade5a2c,91.8,99.82,Harry Kane,00:04:04.560,4,Ball Receipt*,England
7,2ce53ea9-d685-4d27-86b2-5742d6713bd4,91.8,99.82,Harry Kane,00:04:04.560,4,Carry,England
8,be7fbcae-cd69-42e1-a446-c7868603a9f3,97.5,103.09,Harry Kane,00:04:05.576,4,Pass,England
9,291104f6-eb71-4345-8988-e4faa9f6f3f5,88.6,91.47,Harry Kane,00:05:37.368,5,Ball Receipt*,England
10,43429831-ebc3-4197-8a51-2cf256fd7922,88.6,91.47,Harry Kane,00:05:37.368,5,Carry,England
11,91a666e3-8adb-4f54-8599-9b81ebdc6920,88.6,52.51,Harry Kane,00:05:37.408,5,Foul Won,England
12,edf420e7-9a5f-4942-9ffc-75c797d723d1,88.6,52.51,Harry Kane,00:05:37.408,5,Carry,England
13,733186ad-4aa5-4c4e-9290-4b90a2aac136,88.6,51.12,Harry Kane,00:05:37.472,5,Dispossessed,England
14,ac2b09cd-7ce5-4dd9-aa7b-3b3b3c49dec5,104.8,105.64,Harry Kane,00:08:01.016,8,Ball Receipt*,England
15,de4aadcb-eff3-4a76-8f3b-438c3e7e5ef2,104.8,105.64,Harry Kane,00:08:01.016,8,Pass,England
16,706fa8a0-d83e-4b22-b2cc-e0e2880c0afa,102.6,44.85,Harry Kane,00:08:27.161,8,Ball Receipt*,England
17,737644e9-a590-4b20-91bf-13ebd96df049,85.1,97.90,Harry Kane,00:12:38.561,12,Ball Receipt*,England
18,b5133d7a-d5a5-47a0-9ca4-aba373ddfe07,85.1,97.90,Harry Kane,00:12:38.561,12,Carry,England
19,0ec0210f-4dfb-4a1d-ab52-4c1f2156b219,88.2,100.77,Harry Kane,00:12:39.772,12,Shot,England
20,1a1287e5-46bb-4b03-9537-0cbd0d6af170,88.2,92.11,Harry Kane,00:13:35.190,13,Ball Recovery,England
21,3f22f0eb-a3dc-42e1-a808-d4fe04a33ae2,88.2,92.11,Harry Kane,00:13:35.190,13,Carry,England
22,77745ccb-a216-4d78-bd2c-4b0d8459b35b,87.6,94.02,Harry Kane,00:13:35.981,13,Pass,England
23,23fa0aa9-43f8-4652-9d9c-f8f9f5397470,106.5,108.61,Harry Kane,00:13:43.353,13,Ball Recovery,England
24,1f8caf9a-86b9-4571-a3b6-3ce93cbe1aa3,106.5,108.61,Harry Kane,00:13:43.353,13,Carry,England
25,93b65573-62db-4500-9657-51d525e06e78,107.6,31.75,Harry Kane,00:13:43.553,13,Foul Won,England
26,edf7aa7b-0c91-451b-b980-b4dc582aa0b1,108.1,102.65,Harry Kane,00:17:34.626,17,Shot,England
27,de03b2e0-c145-4351-b475-dfdf592e54fd,107.1,110.68,Harry Kane,00:19:20.309,19,Pressure,Netherlands
28,7d577f4f-9e07-4125-986c-2647a0117952,77.0,86.27,Harry Kane,00:21:16.530,21,Ball Receipt*,England
29,d75b143c-971d-49d4-a7a2-f3036ca090bc,77.0,86.27,Harry Kane,00:21:16.530,21,Pass,England
30,aab58da1-5bf2-4c47-8f61-ca64d784f72b,90.6,102.77,Harry Kane,00:21:22.244,21,Ball Recovery,England
