,event_uuid,harry_kane_x_location,defender_x_location,player,timestamp,minute,type,possession_team
0,3f95e470-04f7-44ff-b0b6-7f0a261f7a30,43.8,49.77,Harry Kane,00:01:04.265,1,Ball Recovery,England
1,e0545586-127f-4b85-86d6-6dcbf82ea85e,43.8,49.77,Harry Kane,00:01:04.265,1,Carry,England
2,6178f315-55da-437c-adc8-8b4052524528,44.3,57.69,Harry Kane,00:01:05.979,1,Pass,England
3,d343ffb6-fa77-4a36-bce7-8f70ea572ad8,75.5,88.05,Harry Kane,00:02:27.705,2,Pass,England
4,34765206-913c-4052-808b-5349edc55890,79.2,87.89,Harry Kane,00:02:52.638,2,Ball Receipt*,England
5,7726f3a0-1722-4e26-aa1c-317341d2bb89,79.2,87.89,Harry Kane,00:02:52.638,2,Carry,England
6,b6ebde63-bbcd-490d-8ad5-102d6f239c47,70.8,91.65,Harry Kane,00:02:56.603,2,Pass,England
7,2115a80a-6144-4cf9-bb79-4f5f8ce5afab,56.2,85.00,Harry Kane,00:05:32.298,5,Ball Receipt*,England
8,b0b23ec6-103d-4f51-a31d-1825f2e3f582,57.1,85.00,Harry Kane,00:05:32.298,5,Duel,England
9,87f53c8d-5b1c-4926-82e1-b1314e6b7cb5,82.0,63.63,Harry Kane,00:09:18.027,9,Ball Receipt*,England
10,006302c6-fab5-43fe-9764-0626218323f5,83.8,63.63,Harry Kane,00:09:18.027,9,Duel,England
11,d8cdfea8-05ab-4f7b-a206-e2bd7ed8e242,95.7,103.15,Harry Kane,00:16:08.917,16,Ball Recovery,England
12,a636a6e7-7f0c-4df2-8b0b-40d286d5d112,95.7,103.15,Harry Kane,00:16:08.917,16,Carry,England
13,2711981e-ed2a-4739-b830-953507b4989e,97.3,102.59,Harry Kane,00:16:10.655,16,Shot,England
14,e01e3f5f-94f4-4218-b083-1f4f4b2c160f,112.0,114.43,Harry Kane,00:17:21.048,17,Ball Recovery,England
15,dc57f915-38a0-4271-a0f2-caf977a5e18e,112.9,115.16,Harry Kane,00:17:21.163,17,Shot,England
16,06856c98-b284-4686-94cf-19c67df218e5,82.3,88.23,Harry Kane,00:19:15.260,19,Pressure,Denmark
