,event_uuid,harry_kane_x_location,defender_x_location,player,timestamp,minute,type,possession_team
0,aaa1c5a8-3e98-4e9f-9717-ae50526d8ee0,89.2,60.45,Harry Kane,00:00:07.890,0,Ball Receipt*,England
1,8762ae2f-13ba-4358-b0b7-bb40bbff171c,54.8,97.20,Harry Kane,00:01:19.106,1,Ball Receipt*,England
2,3c1e8679-8b04-45c7-90d6-3365ea0f68a6,77.6,80.84,Harry Kane,00:01:22.798,1,Pressure,Slovenia
3,99405a21-5f66-4fcd-9786-3756aa6cbaf3,108.3,96.07,Harry Kane,00:01:25.890,1,Pressure,Slovenia
4,fd1b43c9-ebda-43d2-8d3b-313205d1bbe2,98.6,49.51,Harry Kane,00:01:35.205,1,Ball Receipt*,Slovenia
5,518fbeb5-6c3c-4a53-aa81-a1875b97dcc1,84.2,65.34,Harry Kane,00:02:57.641,2,Ball Receipt*,England
6,600e0f41-5b2f-4d94-8346-ba8228600fe8,86.0,65.34,Harry Kane,00:02:57.641,2,Duel,England
7,47adb48f-9519-4f25-9d9a-184570b45f6e,54.6,68.06,Harry Kane,00:05:16.156,5,Ball Receipt*,England
8,005db11a-5ee4-4631-a8d9-6bfd41280e31,54.6,68.06,Harry Kane,00:05:16.156,5,Carry,England
9,5e34d0fe-dd9d-4415-8237-1166587275c3,54.6,68.06,Harry Kane,00:05:16.196,5,Miscontrol,England
10,3cc6cffb-b2f2-4342-a627-615f1ab10bb4,75.3,101.32,Harry Kane,00:07:10.722,7,Pass,England
11,821659a4-1b3c-4cbe-b1d7-5dbab400c0d5,104.1,116.48,Harry Kane,00:07:15.733,7,Pressure,Slovenia
12,e6b7ef74-831e-46dd-ab59-024f22a76c7e,98.6,106.26,Harry Kane,00:08:25.560,8,Ball Receipt*,England
13,01c31e6d-f929-4ee3-999c-ba1bc714dc7c,98.6,106.26,Harry Kane,00:08:25.560,8,Carry,England
14,67ee7f36-53d7-4490-84b6-b96b9b1adde1,97.0,103.88,Harry Kane,00:08:27.053,8,Pass,England
15,ef6044af-e0f6-4282-ada9-abd7816e2e7a,52.4,72.72,Harry Kane,00:09:29.786,9,Ball Recovery,Slovenia
16,eb7a7240-63e0-4adc-9771-0c6725b121b0,52.4,72.72,Harry Kane,00:09:29.786,9,Carry,Slovenia
17,177acdb5-e363-44b8-aff7-88dc20d1d8d3,47.4,73.63,Harry Kane,00:09:33.969,9,Pass,Slovenia
18,bf540b17-be6e-4591-90ae-c7d78ffced85,31.1,103.60,Harry Kane,00:10:52.548,10,Ball Receipt*,Slovenia
19,14849d47-39d8-46ab-80cf-1e31e8c681d8,42.4,56.93,Harry Kane,00:10:57.407,10,Pressure,Slovenia
20,36b58d82-e6bc-42bd-9a61-1cced53392ca,77.3,89.59,Harry Kane,00:11:48.607,11,Ball Receipt*,England
21,3deaea25-6180-4430-be4e-ed72106384d1,77.3,89.59,Harry Kane,00:11:48.607,11,Carry,England
22,d4577190-445b-4d00-911b-36303782a064,73.4,89.26,Harry Kane,00:11:49.647,11,Pass,England
23,5819120f-649b-4d12-a81e-253920d677e4,65.6,74.60,Harry Kane,00:18:15.418,18,Pressure,England
24,1c806375-74d6-4d3f-942d-3e7db2181927,64.0,97.93,Harry Kane,00:18:16.032,18,Ball Receipt*,England
25,8af151eb-ce42-4b71-afa9-1762229fc690,77.4,54.10,Harry Kane,00:21:37.050,21,Ball Receipt*,England
26,6dac89e3-f04d-4da1-887a-6b5e3cda5cd9,77.4,54.10,Harry Kane,00:21:37.050,21,Duel,England
27,b3e02ee2-f832-4acf-9242-0eac4ee32ac0,63.7,83.86,Harry Kane,00:25:14.240,25,Ball Receipt*,England
28,4a0dd2a6-bcd6-4cd0-9415-e130e5553749,63.7,83.86,Harry Kane,00:25:14.240,25,Carry,England
29,9dba01f9-91ef-4ecf-8db9-fbf1d6988d27,58.2,88.32,Harry Kane,00:25:16.267,25,Pass,England
30,35da7ab9-4104-42ca-9d4d-7a02e86e25ed,55.8,85.16,Harry Kane,00:25:20.651,25,Ball Receipt*,England
31,cbfba5b7-3e37-486a-a0de-75bae439c9e8,55.8,85.16,Harry Kane,00:25:20.651,25,Carry,England
32,17cc7e93-0e4f-4344-b7c5-9083d2a9881c,61.8,86.26,Harry Kane,00:25:21.996,25,Pass,England
33,f576b650-74c8-4ce0-9349-6ea46d8b277c,105.7,106.51,Harry Kane,00:27:44.467,27,Ball Receipt*,England
34,72a19252-6c2a-4a2e-8a8f-f2c1297304fd,105.7,106.51,Harry Kane,00:27:44.467,27,Carry,England
35,5fd566a1-523a-40ea-b8e3-6a4e948cf159,108.5,109.70,Harry Kane,00:27:45.523,27,Miscontrol,England
36,b7ed02d9-6be9-488e-b67a-6eb4e1e55b3d,102.6,105.15,Harry Kane,00:29:08.520,29,Ball Receipt*,England
37,e62675be-6a37-4c07-814f-7cac06fa343e,102.6,105.15,Harry Kane,00:29:08.520,29,Carry,England
38,d410062f-e109-4055-8f60-1d47c3d2ae49,117.0,41.32,Harry Kane,00:29:18.716,29,Ball Receipt*,England
39,96e3640d-ebec-4055-bbef-0c933423aa03,107.8,115.22,Harry Kane,00:30:13.509,30,Ball Receipt*,England
40,8fcf69c6-f56a-420b-a820-2d8f6eb8f737,107.8,115.22,Harry Kane,00:30:13.539,30,Shot,England
