,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5468ae64-0edc-426d-92d2-6781d6682c3f,4861,,,3942227,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,160,England,768,['98fa9ed9-b2f4-4418-b600-acad3be6895c'],0,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
11,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,98fa9ed9-b2f4-4418-b600-acad3be6895c,4862,,,3942227,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,160,England,768,['5468ae64-0edc-426d-92d2-6781d6682c3f'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
12,,,,,,,,,,,,,,,,,,2.574634,,,,,,,,,,,,b9bc0592-eff6-4e73-b59e-7337fcf9c44d,5,,"[60.0, 40.0]",3942227,0,,,,-3.0946658,,Right Foot,,,,"[23.8, 38.3]",,Ground Pass,,36.239895,,,Jordan Pickford,3468.0,,,,,Kick Off,1,From Kick Off,Kobbie Mainoo,99174.0,Right Defensive Midfield,2,England,768,['d5bc5f42-9961-4adc-88c0-4aa557e1749a'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.235,Pass,
13,,,,,,,,,,,,,,,,,,5.953277,,,,,,,,,,,,7277da62-cfbb-41af-b5e1-9e3fcba33c07,8,,"[28.9, 37.7]",3942227,0,,,,0.47281724,,Left Foot,,,,"[111.4, 79.9]",,High Pass,,92.66655,Out,,,,,,True,,,1,From Kick Off,Jordan Pickford,3468.0,Goalkeeper,2,England,768,,4,,,,,,,,,,,,,,,,,,England,768,00:00:04.496,Pass,
14,,,,,,,,,,,,,,,,,,2.939023,,,,,,,,,,,,d997d4c0-2284-486b-979c-30c9c7aec1b0,9,,"[12.0, 0.1]",3942227,0,,,,1.6541938,,,,,,"[9.3, 32.4]",,Low Pass,,32.41265,,,Yann Sommer,5550.0,,,,,Throw-in,1,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,3,Switzerland,773,['fcecddd4-0920-475c-b64b-88025e82f96e'],24,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:24.205,Pass,
15,,,,,,,,,,,,,,,,,,5.875137,,,,,,,,,,,,9d19190b-20e4-4163-8bdd-486ff075142b,13,,"[10.2, 32.5]",3942227,0,,,,-0.15566467,,Right Foot,,,,"[92.4, 19.6]",,High Pass,,83.20607,Incomplete,,Ruben Vargas,30401.0,,,,,,1,From Throw In,Yann Sommer,5550.0,Goalkeeper,3,Switzerland,773,"['41d9b7fc-8e3f-47d5-b9d6-71bb3b25d97d', '66fd43c8-71dc-4bb4-9d3e-cce87eed41d6', '7b070ef6-6447-4884-a6db-9f5a2e177d5c']",27,,,,,,,,,,,,,,,,,,Switzerland,773,00:00:27.304,Pass,True
16,,,,,,,,,,,,,,,,,,2.319263,,,,,,,,,,,,67718939-84d1-4fb1-9783-3e63a489be3d,17,,"[22.2, 61.7]",3942227,0,,,,-1.8291203,,Left Foot,,,,"[15.7, 37.1]",,Ground Pass,,25.444252,,,Jordan Pickford,3468.0,,,,,,1,Regular Play,John Stones,3244.0,Center Back,4,England,768,['f5c14d7b-a589-4688-9dcd-6d26cd8c32f8'],33,,,,,,,,,,,,,,,,,,England,768,00:00:33.979,Pass,
17,,,,,,,,,,,,,,,,,,2.214014,,,,,,,,,,,,024b158f-1c82-484a-a5c0-574a3b203375,20,,"[18.3, 34.8]",3942227,0,,,,-1.2441678,,Left Foot,,,,"[28.7, 4.1]",,Ground Pass,,32.41373,,,Ezri Konsa Ngoyo,3822.0,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,4,England,768,['a03fa396-ac94-460d-99c1-bac917b3aa25'],37,,,,,,,,,,,,,,,,,,England,768,00:00:37.713,Pass,
18,,,,,,,,,,,,,,,,,,2.296683,,,,,,,,,,,,5e2a51b9-01c6-4d8a-828f-9163a438c159,23,,"[31.1, 10.4]",3942227,0,,,,2.3127437,,Left Foot,,,,"[12.4, 30.8]",,Ground Pass,,27.673994,,,Jordan Pickford,3468.0,,,,,,1,Regular Play,Ezri Konsa Ngoyo,3822.0,Left Center Back,4,England,768,['0d75345a-f1c4-4f6b-9438-cd1ffa8065df'],43,,,,,,,,,,,,,,,,,,England,768,00:00:43.326,Pass,
19,,,,,,,,,,,,,,,,,,1.233025,,,,,,,,,,,,7b2ed5f2-f802-4367-819d-b5dc0ca0c450,26,,"[12.4, 30.8]",3942227,0,,,,-1.2283998,,Left Foot,,,,"[19.6, 10.6]",,Ground Pass,,21.444813,,,Ezri Konsa Ngoyo,3822.0,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,4,England,768,['139b14f7-3d1f-4a3b-a639-7465959a6104'],48,,,,,,,,,,,,,,,,,,England,768,00:00:48.532,Pass,
