,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3173,,,,,,,,,,,,,,,,0.191038,,,,,,,,,,,,,,7cae231a-9b80-47e2-b16a-97535c72b5ab,3479,,,"[55.4, 74.2]",3942819,94,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joey Veerman,21633.0,Center Attacking Midfield,113,Netherlands,941,['e1659984-25e0-4018-b306-13087ada4371'],30,,,,,,,,,,,,,,,,,Netherlands,941,00:49:30.017,Pressure,
3174,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b98531d4-4111-44dc-957f-767cf919d180,17,,,"[81.3, 49.9]",3942819,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Harry Kane,10955.0,Center Forward,2,England,768,['dff2f557-af37-4c39-a3fd-cffde4530486'],14,,,,,,,,,,,,,,,,,England,768,00:00:14.937,Miscontrol,True
3175,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,586f9afa-f445-49eb-bbfb-8ef4a664a582,380,,,"[25.9, 60.9]",3942819,8,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Donyell Malen,15582.0,Right Wing,12,England,768,,28,,,,,,,,,,,,,,,,,Netherlands,941,00:08:28.638,Miscontrol,
3176,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b74c64b2-6400-4a06-ae36-2f1d4f37be64,557,,,"[61.2, 15.7]",3942819,20,,True,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Memphis Depay,2988.0,Center Forward,23,Netherlands,941,,5,,,,,,,,,,,,,,,,,Netherlands,941,00:20:05.383,Miscontrol,
3177,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2efc615a-a48b-42af-85de-ab5fe12ff326,774,,,"[93.8, 34.3]",3942819,24,,,,,,,,,,,,,,,,,,,,,,,1,Other,Harry Kane,10955.0,Center Forward,30,England,768,,44,,,,,,,,,,,,,,,,,England,768,00:24:44.030,Miscontrol,
3178,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ffe0f38b-b3a7-4c55-8963-153b709f190f,788,,,"[72.8, 1.0]",3942819,24,,,,,,,,,,,,,,,,,,,,,,,1,Other,Harry Kane,10955.0,Center Forward,30,England,768,,57,,,,,,,,,,,,,,,,,England,768,00:24:57.645,Miscontrol,
3179,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9b60fbaf-aa2a-46dc-8597-a1f7b8272892,1094,,,"[62.7, 34.3]",3942819,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Phil Foden,4354.0,Right Attacking Midfield,38,England,768,['de99ac3e-7a52-4ab5-86fb-6da6bee904eb'],38,,,,,,,,,,,,,,,,,England,768,00:32:38.733,Miscontrol,True
3180,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e48aded-5cd4-4824-a15e-c3bc1bb28e6e,1734,,,"[63.1, 63.8]",3942819,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Xavi Simons,39167.0,Right Wing,51,Netherlands,941,,25,,,,,,,,,,,,,,,,,Netherlands,941,00:00:25.878,Miscontrol,
3181,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a4ac1cc6-ca5a-4497-a006-ed971df951ad,1787,,,"[112.1, 12.8]",3942819,47,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jude Bellingham,30714.0,Left Attacking Midfield,54,England,768,['54e14339-4856-4694-a555-212e86d6088e'],9,,,,,,,,,,,,,,,,,England,768,00:02:09.328,Miscontrol,True
3182,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a7e90348-0e9e-4912-adda-dafac002a528,2071,,,"[69.8, 4.6]",3942819,54,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kobbie Mainoo,99174.0,Right Defensive Midfield,67,England,768,,2,,,,,,,,,,,,,,,,,England,768,00:09:02.901,Miscontrol,
3183,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e7ddfaf0-8266-4653-81d7-30f47af209c1,2292,,,"[64.8, 74.5]",3942819,58,,True,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Denzel Dumfries,8125.0,Right Back,74,Netherlands,941,,45,,,,,,,,,,,,,,,,,Netherlands,941,00:13:45.323,Miscontrol,
3184,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a342d029-0394-4a92-b65f-7e5641bf50d6,2348,,,"[90.6, 77.5]",3942819,59,,True,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Phil Foden,4354.0,Right Attacking Midfield,75,England,768,,51,,,,,,,,,,,,,,,,,England,768,00:14:51.999,Miscontrol,
3185,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e795e596-a7ab-4827-97d0-495703ba9c7a,2534,,,"[90.6, 54.7]",3942819,66,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Phil Foden,4354.0,Right Attacking Midfield,85,England,768,,42,,,,,,,,,,,,,,,,,England,768,00:21:42.052,Miscontrol,
3186,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,abfc1c0a-d4d4-4dd8-a65e-a1cf1d415497,2781,,,"[97.2, 76.9]",3942819,73,,True,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Bukayo Saka,22084.0,Right Wing Back,92,England,768,,7,,,,,,,,,,,,,,,,,England,768,00:28:07.383,Miscontrol,
3187,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4c927ed-1e6c-4b8c-b291-53f33b5b607f,2800,,,"[90.5, 4.0]",3942819,73,,True,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Jude Bellingham,30714.0,Left Attacking Midfield,93,Netherlands,941,,57,,,,,,,,,,,,,,,,,England,768,00:28:57.663,Miscontrol,
3188,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,743652ce-b411-44b8-bea2-daed6f719d72,2961,,,"[66.3, 53.5]",3942819,77,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jerdy Schouten,15503.0,Right Defensive Midfield,95,England,768,,27,,,,,,,,,,,,,,,,,Netherlands,941,00:32:27.000,Miscontrol,
3189,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fe864cb-8537-401a-bfcd-a8aa8cfcfb85,3383,,,"[68.6, 63.2]",3942819,89,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kobbie Mainoo,99174.0,Right Defensive Midfield,109,England,768,,53,,,,,,,,,,,,,,,,,England,768,00:44:53.915,Miscontrol,
3190,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87844ed5-3e1d-4456-a52c-6db4c631abf3,18,,,"[50.0, 29.3]",3942819,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cody Mathès Gakpo,20750.0,Left Wing,3,Netherlands,941,,16,,,,,,,,,,,,,,,,,Netherlands,941,00:00:16.384,Ball Recovery,
3191,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b2c986f-812b-48de-9f35-55ddbcb8a013,167,,,"[75.6, 33.8]",3942819,3,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Phil Foden,4354.0,Right Attacking Midfield,6,England,768,['2e38c140-c541-4e85-a6a9-22b51627c5c2'],15,,,,,,,,,,,,,,,,,England,768,00:03:15.253,Ball Recovery,True
3192,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f2addb44-3710-4c2f-bc08-f0192ffd95b2,172,,,"[32.3, 44.1]",3942819,3,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Left Center Back,7,Netherlands,941,,18,,,,,,,,,,,,,,,,,Netherlands,941,00:03:18.360,Ball Recovery,
3193,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c5b10c7-a1fe-4f3d-abc8-44d90819cd39,215,,,"[115.1, 13.3]",3942819,4,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Kieran Trippier,3308.0,Left Wing Back,8,England,768,,15,,,,,,,,,,,,,,,,,England,768,00:04:15.193,Ball Recovery,
3194,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4fbf7052-7f9d-4d0a-a0ab-8456f343fad8,283,,,"[83.5, 46.4]",3942819,5,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing Back,10,England,768,['b835e292-bb34-484c-9a7f-4c87f0bbf5e6'],38,,,,,,,,,,,,,,,,,England,768,00:05:38.164,Ball Recovery,True
3195,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41369ce5-ed99-47ff-9d6d-c01bae15e35a,313,,,"[9.4, 60.2]",3942819,6,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,11,Netherlands,941,['10a4f914-cf56-4dbd-9981-e0dad8712613'],7,,,,,,,,,,,,,,,,,Netherlands,941,00:06:07.448,Ball Recovery,
