,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,1.053454,,,,,,,,,,,e15758dd-892f-4865-b606-70e31b8eee7f,17,,"[98.4, 10.8]",3930171,0,,,,2.3911996,,Left Foot,,,,"[85.1, 23.2]",,Ground Pass,,18.183784,,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,Regular Play,Rasmus Winther Højlund,51672.0,Center Forward,3,Denmark,776,['b12f4688-0830-47dc-b0dc-a6f3322bcc31'],20,,,,,,,,,,,,,,,,,Denmark,776,00:00:20.188,Pass,
11,,,,,,,,,,,,,,,0.676756,,,,,,,,,,,8e0bb7bd-eaca-4180-b29a-fda7b5be74ca,20,,"[91.4, 24.1]",3930171,0,,,,0.89378005,,Right Foot,,,,"[100.0, 34.8]",,Ground Pass,,13.727709,,,,Christian Dannemann Eriksen,3043.0,,,,,,,1,Regular Play,Pierre-Emile Højbjerg,3570.0,Left Defensive Midfield,3,Denmark,776,['e0313b67-e6a1-41cf-9364-a12bdcac1813'],22,,,,,,,,,,,,,,,,,Denmark,776,00:00:22.323,Pass,
12,,,,,,,,,,,,,,,0.697593,,,,,,,,,,,1e3b2bee-618d-4e76-b1a4-8e8e9ccf4d28,22,,"[99.8, 34.5]",3930171,0,,,,-1.9341894,baa2a6e2-5190-499d-a587-0f0f244bdab3,Right Foot,,,,"[97.1, 27.4]",,Ground Pass,,7.5960517,,,,Pierre-Emile Højbjerg,3570.0,True,,,,,,1,Regular Play,Christian Dannemann Eriksen,3043.0,Left Wing,3,Denmark,776,['fb97a7ef-ee4e-4775-b776-e5f5fbe161c9'],22,,,,,,,,,,,,,,,,,Denmark,776,00:00:22.999,Pass,
13,,,,,,,,,,,,,,,1.569615,,,,,,,,,,,06ed7a50-29b6-4d6e-bfeb-39035185464a,26,,"[15.5, 46.3]",3930171,0,,,,1.5839535,,Keeper Arm,,,,"[15.4, 53.9]",,Ground Pass,,7.600658,,,,John Stones,3244.0,,,,,,,1,From Keeper,Jordan Pickford,3468.0,Goalkeeper,5,England,768,['2bfdec80-4084-4e44-baf2-bfe7651cf51b'],32,,,,,,,,,,,,,,,,,England,768,00:00:32.291,Pass,
14,,,,,,,,,,,,,,,1.255502,,,,,,,,,,,428536d6-e52b-4d91-9095-a63ef89ffd56,29,,"[19.9, 49.3]",3930171,0,,,,-1.1313654,,Right Foot,,,,"[25.4, 37.6]",,Ground Pass,,12.928264,,,,Declan Rice,3943.0,,,,,,,1,From Keeper,John Stones,3244.0,Right Center Back,5,England,768,['486aa504-c523-436c-a28c-e6eff0602555'],37,,,,,,,,,,,,,,,,,England,768,00:00:37.441,Pass,
15,,,,,,,,,,,,,,,1.416688,,,,,,,,,,,701af42c-869d-4f0a-904b-12c7ff9c8585,32,,"[26.8, 36.3]",3930171,0,,,,1.5707964,,Left Foot,,,,"[26.8, 49.8]",,Ground Pass,,13.5,,,,John Stones,3244.0,,,,,,,1,From Keeper,Declan Rice,3943.0,Left Defensive Midfield,5,England,768,['3455e762-31a7-4792-83eb-74709f1e2731'],40,,,,,,,,,,,,,,,,,England,768,00:00:40.598,Pass,
16,,,,,,,,,,,,,,,1.566137,,,,,,,,,,,671fec7e-8cea-47a7-9025-99d08fd0b703,35,,"[26.8, 49.3]",3930171,0,,,,-1.2229079,,Right Foot,,,,"[33.4, 31.1]",,Ground Pass,,19.359753,,,,Declan Rice,3943.0,,,,,,,1,From Keeper,John Stones,3244.0,Right Center Back,5,England,768,['e9cc262f-1bf9-4d20-bd7b-58150138e579'],44,,,,,,,,,,,,,,,,,England,768,00:00:44.227,Pass,
17,,,,,,,,,,,,,,,1.605728,,,,,,,,,,,952fbe4c-1e94-46a4-8dc1-b8cf890a60c3,38,,"[37.1, 24.8]",3930171,0,,,,-1.2274858,,Right Foot,,,,"[45.0, 2.7]",,Ground Pass,,23.469555,,,,Kieran Trippier,3308.0,,,,,,,1,From Keeper,Declan Rice,3943.0,Left Defensive Midfield,5,England,768,['e545d2d1-0dad-4677-a7fa-232a0434f63e'],47,,,,,,,,,,,,,,,,,England,768,00:00:47.690,Pass,
18,,,,,,,,,,,,,,,0.074961,,,,,,,,,,,2f4362c5-264e-474f-8b3e-924b490fd8f7,41,,"[45.9, 3.0]",3930171,0,,,,-0.066568166,,Right Foot,,,,"[50.4, 2.7]",,Ground Pass,,4.509989,,Incomplete,,Phil Foden,4354.0,,,,,,,1,From Keeper,Kieran Trippier,3308.0,Left Back,5,England,768,"['6ecaefd9-6067-4116-9a80-6ff411a88c71', '9cd16fbe-bdaf-4d61-a18d-739f2004c269']",50,,,,,,,,,,,,,,,,,England,768,00:00:50.383,Pass,
19,,,,,,,,,,,,,,,1.149115,,,,,,,,,,,197d6c54-7084-4ce5-8b28-6c1aea98de42,51,,"[42.0, 30.5]",3930171,0,,,,0.87645006,,Left Foot,,,,"[62.9, 55.6]",,Ground Pass,,32.662212,,Incomplete,,Bukayo Saka,22084.0,,,,,,,1,From Keeper,Trent Alexander-Arnold,3664.0,Right Defensive Midfield,5,England,768,"['17176490-dedd-4dca-a227-bf6aebea2c00', '6a389b03-625d-43a8-a2a7-f0d53e065b97']",55,,,,,,,,,,,,,,,,,England,768,00:00:55.361,Pass,
