,50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
730,,,,,,,,,,,,,,,,,,,1.071324,,,,,,,,,,,,540e7ddf-44b3-435f-a4fe-5dbdf522d835,2609,,,"[85.1, 46.2]",3943043,70,,,,-0.89842784,,Right Foot,,,"[93.3, 35.9]",,Ground Pass,,13.165485,,Incomplete,,Phil Foden,4354.0,,,,,,2,From Goal Kick,Jude Bellingham,30714.0,Right Defensive Midfield,111,England,768,"['166eb4c8-d6f5-4c14-a8d6-c132cf2f19a4', '78c39247-a9a6-4a42-8983-02b8d04b2152', 'f4ae1957-5ec3-4034-a24d-90c98c7e8d69']",8,,,,,,,,,,,,,,,,,,England,768,00:25:08.747,Pass,True
731,,,,,,,,,,,,,,,,,,,2.783475,,,,,,,,,,,,166eb4c8-d6f5-4c14-a8d6-c132cf2f19a4,2611,,,"[26.8, 44.2]",3943043,70,,,,-1.046537,,Right Foot,,,"[52.3, 0.1]",,High Pass,,50.94173,,Out,,,,,True,,,Recovery,2,From Goal Kick,Robin Aime Robert Le Normand,22128.0,Right Center Back,111,England,768,['540e7ddf-44b3-435f-a4fe-5dbdf522d835'],9,,,,,,,,,,,,,,,,,,Spain,772,00:25:09.818,Pass,
732,,,,,,,,,,,,,,,,,,,1.219542,,,,,,,,,,,,a1bb551f-b474-44eb-b3f7-304543ddd3f1,2612,,,"[74.4, 80.0]",3943043,70,,,,-1.9804424,,,,,"[71.1, 72.4]",,Low Pass,,8.285529,,,,Cole Palmer,39461.0,,,,,Throw-in,2,From Throw In,Kyle Walker,3205.0,Right Back,112,England,768,['ddb4cb6b-c3ef-437d-8bfe-8b3bd89a7b71'],16,,,,,,,,,,,,,,,,,,England,768,00:25:16.923,Pass,
733,,,,,,,,,,,,,,,,,,,0.892581,,,,,,,,,,,,c1c244bc-458d-455e-b8bc-375427cf4e44,2615,,,"[77.0, 69.9]",3943043,70,,,,-0.4516,,Left Foot,,,"[93.7, 61.8]",,Ground Pass,,18.56071,,Incomplete,,Ollie Watkins,4760.0,,,,,,2,From Throw In,Cole Palmer,39461.0,Center Attacking Midfield,112,England,768,"['ec50f330-e838-4dd4-ad62-5c15024eef26', 'f895993b-8bf2-427f-8a0c-cada705827c4']",21,,,,,,,,,,,,,,,,,,England,768,00:25:21.140,Pass,
734,,,,,,,,,,,,,,,,,,,0.668618,,,,,,,,,,,,46703455-0537-4acb-83d3-8986f5b78779,2631,,,"[40.6, 21.3]",3943043,70,,,,2.8833404,,Left Foot,,,"[35.3, 22.7]",,Ground Pass,,5.481788,,,,Martín Zubimendi Ibáñez,24921.0,,,,,,2,Regular Play,Mikel Oyarzabal Ugarte,6685.0,Center Forward,113,Spain,772,['aab9a3bc-f714-4b5e-9fcf-02400c5cb29b'],32,,,,,,,,,,,,,,,,,,Spain,772,00:25:32.263,Pass,
735,,,,,,,,,,,,,,,,,,,0.736029,,,,,,,,,,,,5c68b5fc-2da3-4f1a-86cc-15eb6c14bc26,2634,,,"[35.0, 22.5]",3943043,70,,,,0.102206714,,Right Foot,,,"[50.6, 24.1]",,Ground Pass,,15.681837,,,,Fabián Ruiz Peña,6655.0,,,,,,2,Regular Play,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,113,Spain,772,['70168e59-80ab-479b-85c2-ad979aaf3384'],33,,,,,,,,,,,,,,,,,,Spain,772,00:25:33.219,Pass,
736,,,,,,,,,,,,,,,,,,,1.783061,,,,,,,,,,,,705a123f-9d7b-416f-8efd-4109c6ac3adc,2637,,,"[63.7, 30.0]",3943043,70,,,,2.0009637,,Left Foot,,,"[52.0, 55.5]",,Ground Pass,,28.056015,,,,Daniel Carvajal Ramos,5721.0,,,,,,2,Regular Play,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,113,Spain,772,['98769045-64ff-4628-b5bb-7ce49ed7d3f6'],37,,,,,,,,,,,,,,,,,,Spain,772,00:25:37.997,Pass,
737,,,,,,,,,,,,,,,,,,,0.957211,,,,,,,,,,,,c4660472-a632-478a-8678-d095d26c8259,2640,,,"[65.3, 56.7]",3943043,70,,,,0.21293835,,Right Foot,,,"[76.4, 59.1]",,Ground Pass,,11.356496,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,113,Spain,772,['9e49ab5d-7f93-4e12-85c8-51403e985ff9'],41,,,,,,,,,,,,,,,,,,Spain,772,00:25:41.786,Pass,
738,,,,,,,,,,,,,,,,,,,1.059524,,,,,,,,,,,,f1fcc4c0-91c0-4460-b521-acbd81fdd7f5,2644,,,"[76.1, 61.7]",3943043,70,,,,2.1747794,,Right Foot,,,"[69.2, 71.7]",,Ground Pass,,12.149486,,,,Lamine Yamal Nasraoui Ebana,316046.0,,,,,,2,Regular Play,Daniel Olmo Carvajal,16532.0,Center Attacking Midfield,113,Spain,772,"['2130731a-80ef-4c87-8aeb-7fd17655b36b', 'ec4ad9cd-01b1-4408-8ce8-7fb05511ff57']",43,,,,,,,,,,,,,,,,,,Spain,772,00:25:43.891,Pass,True
739,,,,,,,,,,,,,,,,,,,1.308287,,,,,,,,,,,,8e7e563e-8bd1-44de-b8e4-04bb23e72024,2647,,,"[65.3, 71.7]",3943043,70,,,,-2.2888806,,Left Foot,,,"[48.7, 52.7]",,Ground Pass,,25.23014,,,,Robin Aime Robert Le Normand,22128.0,,,,,,2,Regular Play,Lamine Yamal Nasraoui Ebana,316046.0,Right Wing,113,Spain,772,['61be0af4-4cd9-491a-bb1d-c4e5d1ee4750'],45,,,,,,,,,,,,,,,,,,Spain,772,00:25:45.979,Pass,
