,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,,1.973198,,,,,,,,,,,,,,fd7a2e49-c91a-412a-8c09-5fd16d232bee,16,,"[55.8, 63.9]",3930163,0,,,True,-0.25315604,,,,,"[75.9, 58.7]",Low Pass,20.761744,,,Incomplete,,Dušan Vlahović,18015.0,,,,,,1,Regular Play,Aleksandar Mitrović,4269.0,Center Forward,3,Serbia,786,"['59744592-914c-47d8-95b9-f33aad9dd792', '8a11d90a-a177-43a8-b341-3bd9e92c13a7', 'b3179180-4222-4e7c-918e-05d8e6fbf63c']",17,,,,,,,,,,,,,,,,,Serbia,786,00:00:17.521,Pass,True
11,,,,,,,,,,,,,,,,,0.446616,,,,,,,,,,,,,,6a881406-c6c3-42e0-a74c-9285d405c987,25,,"[34.5, 44.2]",3930163,0,,,,-1.8606428,,Right Foot,,,"[32.8, 38.5]",Ground Pass,5.948109,,,,,Declan Rice,3943.0,,,,,Recovery,1,Regular Play,Trent Alexander-Arnold,3664.0,Right Defensive Midfield,4,England,768,['b750bf14-569b-463d-a01e-c61d4eb8c438'],24,,,,,,,,,,,,,,,,,England,768,00:00:24.259,Pass,
12,,,,,,,,,,,,,,,,,0.676153,,,,,,,,,,,,,,9b807c35-c25e-4f18-9b77-71116c299992,29,,"[30.7, 40.1]",3930163,0,,,,-2.0344439,,Right Foot,,,"[26.2, 31.1]",Ground Pass,10.062305,,,,,Kieran Trippier,3308.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,"['49c5b78b-2f5d-42d1-8a8e-15df895cabd4', '91f646cb-76a0-4e26-9429-ff389e0b3ee7']",25,,,,,,,,,,,,,,,,,England,768,00:00:25.983,Pass,True
13,,,,,,,,,,,,,,,,,1.170751,,,,,,,,,,,,,,be1cd68f-2cc9-43b6-812a-a174f5b80448,32,,"[25.1, 31.8]",3930163,0,,,,2.840987,,Right Foot,,,"[15.1, 34.9]",Ground Pass,10.46948,,,,,Marc Guehi,34526.0,,,,,,1,Regular Play,Kieran Trippier,3308.0,Left Back,4,England,768,['b7d4bbe1-c4b5-412e-9656-495ac3402a9e'],27,,,,,,,,,,,,,,,,,England,768,00:00:27.020,Pass,
14,,,,,,,,,,,,,,,,,0.869909,,,,,,,,,,,,,,25641b42-b009-4750-95aa-3119f483da76,35,,"[19.3, 31.8]",3930163,0,,,,-0.49642277,,Right Foot,,,"[24.1, 29.2]",Ground Pass,5.4589376,,,,,Declan Rice,3943.0,,,,,,1,Regular Play,Marc Guehi,34526.0,Left Center Back,4,England,768,['cd226896-2d63-46c8-8a23-9b92c6a6c19a'],30,,,,,,,,,,,,,,,,,England,768,00:00:30.830,Pass,
15,,,,,,,,,,,,,,,,,1.184268,,,,,,,,,,,,,,71ff61f0-efd4-4f74-aa4a-1eded90f5f69,38,,"[24.3, 29.1]",3930163,0,,,,-0.24303314,,Right Foot,,,"[36.4, 26.1]",Ground Pass,12.466354,,,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['e2baf222-b7f5-4e23-99ba-e64952520ba2'],32,,,,,,,,,,,,,,,,,England,768,00:00:32.450,Pass,
16,,,,,,,,,,,,,,,,,0.910702,,,,,,,,,,,,,,329e7ee9-501e-410c-a552-bc31818c9a1d,41,,"[39.6, 24.8]",3930163,0,,,,-0.4853833,,Right Foot,,,"[48.7, 20.0]",Ground Pass,10.288342,,,,,Phil Foden,4354.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Center Attacking Midfield,4,England,768,['e9fffec9-7939-43f6-9150-342aa6429c97'],35,,,,,,,,,,,,,,,,,England,768,00:00:35.486,Pass,
17,,,,,,,,,,,,,,,,,0.563149,,,,,,,,,,,,,,2e69d7f9-5dd3-40f5-be2b-bf0891f3f353,44,,"[48.7, 20.0]",3930163,0,,,,2.508844,,Right Foot,,,"[45.7, 22.2]",Ground Pass,3.720215,,,,,Jude Bellingham,30714.0,,,,,,1,Regular Play,Phil Foden,4354.0,Left Wing,4,England,768,['e7956cf7-9765-450e-8a2f-c32424076a4c'],36,,,,,,,,,,,,,,,,,England,768,00:00:36.444,Pass,
18,,,,,,,,,,,,,,,,,1.048986,,,,,,,,,,,,,,4af85e3f-dbf4-4276-9085-13961a53f15a,47,,"[59.8, 5.1]",3930163,0,,,,1.9939677,,Right Foot,,,"[53.9, 18.2]",Ground Pass,14.367324,,,,,Declan Rice,3943.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Center Attacking Midfield,4,England,768,['870eb437-16a2-4f1a-a751-363014474c90'],41,,,,,,,,,,,,,,,,,England,768,00:00:41.158,Pass,
19,,,,,,,,,,,,,,,,,1.162785,,,,,,,,,,,,,,32fb0a20-8065-4d4a-a0c6-8d7001702cfc,50,,"[52.5, 27.6]",3930163,0,,,,1.6166358,,Right Foot,,,"[51.5, 49.4]",Ground Pass,21.822924,,,,,Trent Alexander-Arnold,3664.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,4,England,768,['5a092cea-cd67-4966-a35f-eeeb1e775078'],43,,,,,,,,,,,,,,,,,England,768,00:00:43.203,Pass,
