,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,,,,1.742286,,,,,,,,,,,a6449c03-de0c-47c8-98fb-a0e9a27c7f2a,5,,,"[61.0, 40.1]",3941017,0,,,,,-3.1036363,,Left Foot,,,"[37.3, 39.2]",,Ground Pass,,23.717083,,,,Milan Škriniar,6990.0,,,,,Kick Off,1,From Kick Off,David Strelec,43976.0,Center Forward,2,Slovakia,908,['96ee1f64-45fc-4d68-851d-e7591b3b9e80'],0,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:00.372,Pass,
11,,,,,,,,,,,,,,,,1.019313,,,,,,,,,,,e9f93ed3-e582-4745-aafc-b7e2e169767a,8,,,"[36.7, 38.2]",3941017,0,,,,,1.2966288,,Right Foot,,,"[37.6, 41.4]",,Ground Pass,,3.3241541,,,,Denis Vavro,16298.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['5037d148-da34-46e8-bcf7-c95a50c3fc29'],2,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:02.304,Pass,
12,,,,,,,,,,,,,,,,0.345035,,,,,,,,,,,9115d650-d252-4f63-817b-a8e7454b0c8e,11,,,"[37.6, 41.4]",3941017,0,,,,,-0.22923194,,Right Foot,,,"[46.6, 39.3]",,High Pass,,9.241753,,Incomplete,,David Strelec,43976.0,,,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,"['4a1f179e-0a4c-4cbd-b5a4-4aa0e0a33ddc', '98a88903-8fd6-45d4-bf19-3d24ee9122f8']",3,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:03.394,Pass,
13,,,,,,,,,,,,,,,,2.207613,,,,,,,,,,,fd7cecbd-eb71-47a7-a46e-7a206d3da97c,16,,,"[15.5, 34.7]",3941017,0,,,,,0.92808384,,Keeper Arm,,,"[30.7, 55.0]",,Ground Pass,,25.360008,,,,Denis Vavro,16298.0,,,,,,1,From Kick Off,Martin Dúbravka,3711.0,Goalkeeper,2,Slovakia,908,['f3143e89-d69f-4466-8219-180d76c8413c'],9,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:09.244,Pass,
14,,,,,,,,,,,,,,,,1.348232,,,,,,,,,,,37fb55ff-19c0-4b25-af40-d87e46e18b8a,19,,,"[33.7, 54.1]",3941017,0,,,,,-0.86484224,,Right Foot,,,"[57.4, 26.3]",,Low Pass,,36.53122,,,,Ondrej Duda,8967.0,,,,,,1,From Kick Off,Denis Vavro,16298.0,Right Center Back,2,Slovakia,908,['9ad0bdef-658c-4650-a6f4-f8092c486c8c'],15,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:15.640,Pass,
15,,,,,,,,,,,,,,,,1.376495,,,,,,,,,,,cdb569b6-deee-49cf-b6e3-c8832af1b84a,23,,,"[50.4, 20.6]",3941017,0,,,,,-2.9509537,,Right Foot,,,"[33.3, 17.3]",,Ground Pass,,17.41551,,,,Milan Škriniar,6990.0,,,,,,1,From Kick Off,Ondrej Duda,8967.0,Left Center Midfield,2,Slovakia,908,['7a5677f0-b881-4385-b0fa-39e7d515faa8'],20,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:20.568,Pass,
16,,,,,,,,,,,,,,,,1.212714,,,,,,,,,,,f31d96be-6d3e-464f-b066-3e64d82ab3f5,26,,,"[33.3, 17.3]",3941017,0,,,,,0.47212198,,Right Foot,,,"[42.7, 22.1]",,Ground Pass,,10.55462,,,,Stanislav Lobotka,6798.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['cdf2ad8e-95eb-404e-885c-71338c997627'],22,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:22.784,Pass,
17,,,,,,,,,,,,,,,,1.541983,,,,,,,,,,,f552252a-8842-412d-95a9-fd252b985596,29,,,"[42.0, 22.1]",3941017,0,,,,,-1.9594216,,Right Foot,,,"[36.8, 9.4]",,Ground Pass,,13.723338,,,,Milan Škriniar,6990.0,,,,,,1,From Kick Off,Stanislav Lobotka,6798.0,Center Defensive Midfield,2,Slovakia,908,['412dfea1-50e4-40d1-8e43-f67ab6f8fde5'],24,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:24.131,Pass,
18,,,,,,,,,,,,,,,,2.696075,,,,,,,,,,,891478fe-3d2b-43dd-be63-272834ba0855,32,,,"[42.9, 6.2]",3941017,0,,,,,-0.12249379,,Left Foot,,,"[89.2, 0.5]",,High Pass,,46.649544,,Out,,Dávid Hancko,16879.0,,,,,,1,From Kick Off,Milan Škriniar,6990.0,Left Center Back,2,Slovakia,908,['ff33e586-1ce0-41d9-a8d3-b6d221a0f619'],26,,,,,,,,,,,,,,,,,,Slovakia,908,00:00:26.791,Pass,
19,,,,,,,,,,,,,,,,3.075418,,,,,,,,,,,97d60fcc-3e0c-4547-9707-b707f345e327,34,,,"[33.6, 80.0]",3941017,0,,True,,,-2.0067303,,,,,"[15.2, 40.5]",,Low Pass,,43.575336,,,,Jordan Pickford,3468.0,,,,,Throw-in,1,From Throw In,Kyle Walker,3205.0,Right Back,3,England,768,['57f03a7b-6029-4983-bf04-71e7fd95113c'],33,,,,,,,,,,,,,,,,,,England,768,00:00:33.788,Pass,
