,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3351,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,baadcdbb-2a0c-4a52-87ae-030cf70368c9,1266,,,"[12.3, 44.3]",3930181,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Vanja Drkušić,205932.0,Right Center Back,49,England,768,['8fcf69c6-f56a-420b-a820-2d8f6eb8f737'],13,,,,,,,,,,,,,,,,,Slovenia,944,00:30:13.539,Duel,True
3352,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,35840d68-68ad-49c2-bde6-7ad518a85e72,1506,,,"[27.8, 9.5]",3930181,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kieran Trippier,3308.0,Left Back,56,Slovenia,944,['b55c00f2-a6ef-4197-a3d5-e01ad75e9cfd'],32,,,,,,,,,,,,,,,,,England,768,00:35:32.223,Duel,True
3353,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,284ff7fa-62c7-42dc-945d-f97aa443bb4b,1518,,,"[76.8, 54.3]",3930181,35,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Timi Elšnik,15896.0,Left Defensive Midfield,58,Slovenia,944,['49b7c876-522f-4548-b4a7-b7c01ba3e9fb'],38,,,,,,,,,,,,,,,,,Slovenia,944,00:35:38.285,Duel,True
3354,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,29617cbe-d03c-43db-809b-65c95997f002,1543,,,"[15.5, 38.9]",3930181,36,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Guehi,34526.0,Left Center Back,58,Slovenia,944,['56b635d5-34c0-4468-9f55-3062f2676faf'],5,,,,,,,,,,,,,,,,,England,768,00:36:05.553,Duel,True
3355,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,9e9b3ca7-b64b-4b8f-999a-1df31756ea45,2122,,,"[12.5, 29.1]",3930181,48,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,71,England,768,['f7ea1f01-1310-45e8-a731-6611700015f0'],30,,,,,,,,,,,,,,,,,Slovenia,944,00:03:30.770,Duel,True
3356,,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,9e65994f-ed8f-46b2-99aa-b02511f7a3cc,2127,,,"[6.5, 23.5]",3930181,48,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jan Mlakar,31089.0,Left Midfield,71,England,768,['cec8337d-aaa7-4d63-9288-b9c39571b3bd'],32,,,,,,,,,,,,,,,,,Slovenia,944,00:03:32.057,Duel,True
3357,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,87c753c5-67f6-42d7-8eda-f08aa64a7ed3,2142,,,"[7.9, 32.1]",3930181,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jaka Bijol,16047.0,Left Center Back,72,England,768,['4841be31-8498-425e-a620-ca826c5f47c9'],5,,,,,,,,,,,,,,,,,Slovenia,944,00:04:05.766,Duel,True
3358,,,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,,2066f045-a09f-402f-92d6-2e663538b7f8,2159,,,"[33.3, 25.7]",3930181,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Žan Karničnik,137487.0,Right Back,72,England,768,['19279b41-d267-409b-88ca-d26cf355198d'],18,,,,,,,,,,,,,,,,,Slovenia,944,00:04:18.406,Duel,True
3359,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,e180ad4e-c155-4ff7-88e1-058454370c40,2214,,,"[61.0, 65.8]",3930181,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andraž Šporar,31866.0,Right Center Forward,76,Slovenia,944,['3433bdd5-3dc4-4a5d-9d11-8e47c10e9445'],56,,,,,,,,,,,,,,,,,Slovenia,944,00:05:56.168,Duel,True
3360,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,f7fcaf8c-e083-48f2-a3bf-b80fd9156552,2305,,,"[68.0, 59.8]",3930181,53,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andraž Šporar,31866.0,Right Center Forward,81,Slovenia,944,['22b02fed-6e8c-4115-8603-14ef9426f846'],10,,,,,,,,,,,,,,,,,Slovenia,944,00:08:10.823,Duel,True
3361,,,,,,,,,,,,,,,,Success Out,Tackle,0.0,,,,,,,,,,,,,ec483fcc-1034-4726-915b-99da916764c6,2324,,,"[13.6, 30.7]",3930181,53,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jaka Bijol,16047.0,Left Center Back,82,England,768,['11df6e5a-4449-4f13-b279-aa9fd6163bce'],27,,,,,,,,,,,,,,,,,Slovenia,944,00:08:27.921,Duel,True
3362,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,f07aa1ec-c573-417e-b58a-095d5e534d22,2333,,,"[60.8, 10.2]",3930181,54,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Declan Rice,3943.0,Left Defensive Midfield,83,Slovenia,944,['3e04c6be-b5f2-4503-9bc1-982cc776df14'],6,,,,,,,,,,,,,,,,,England,768,00:09:06.288,Duel,True
3363,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,eb9ca50d-24c0-4793-8792-bc93fc5f2524,2432,,,"[8.1, 39.2]",3930181,57,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jaka Bijol,16047.0,Left Center Back,86,England,768,['e1c8e3ef-9267-4dc8-a8c3-14e4dd4c883d'],3,,,,,,,,,,,,,,,,,Slovenia,944,00:12:03.930,Duel,True
3364,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,f0a74cf6-d440-4d7e-ba7d-78c4563a99b0,2483,,,"[19.6, 22.5]",3930181,58,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Timi Elšnik,15896.0,Left Defensive Midfield,88,England,768,['08dad13f-0dd2-46b2-9cb6-a653a63d86a7'],54,,,,,,,,,,,,,,,,,Slovenia,944,00:13:54.462,Duel,True
3365,,,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,77fa74ab-93c9-46be-a42a-3b6b6e6b4460,2553,,,"[25.9, 30.9]",3930181,59,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andraž Šporar,31866.0,Right Center Forward,88,England,768,['577f32b1-459d-486d-b2bc-26bf4714485f'],42,,,,,,,,,,,,,,,,,Slovenia,944,00:14:42.348,Duel,True
3366,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,866d0345-0756-4f7d-a042-e08e3e3338ee,2610,,,"[66.5, 66.0]",3930181,61,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andraž Šporar,31866.0,Right Center Forward,89,Slovenia,944,['b9c438c1-bdc9-4996-bce9-26a1a8f325bc'],2,,,,,,,,,,,,,,,,,Slovenia,944,00:16:02.114,Duel,True
3367,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,da8f347f-94fa-4e75-8870-14965e2580de,2654,,,"[58.3, 11.8]",3930181,62,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kieran Trippier,3308.0,Left Back,91,Slovenia,944,['62455de0-beca-44f0-ab90-a06bb6676354'],33,,,,,,,,,,,,,,,,,England,768,00:17:33.601,Duel,True
3368,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,3dca4cc6-0444-4c58-801b-895e25b208c0,2745,,,"[70.7, 20.1]",3930181,65,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Kobbie Mainoo,99174.0,Right Defensive Midfield,94,Slovenia,944,['f2072700-b850-4555-9fea-6b0a9abc4e9f'],27,,,,,,,,,,,,,,,,,England,768,00:20:27.258,Duel,True
